source,source_url,image_url,make,model,year,part_category,part_name,part_brand,reference,price_tnd,availability,condition,quality_level,collected_at
karhabtk,https://www.karhabtk.tn/phare/469-phare-avant-gauche-205-83-91.html,https://www.karhabtk.tn/6016-home_default/phare-avant-gauche-205-83-91.jpg,Peugeot,205,Any,phare,OPTIQUE GAUCHE PEUGEOT 205,N/A,N/A,45.0,N/A,N/A,unknown,2026-06-06T00:31:17.129160
karhabtk,https://www.karhabtk.tn/phare/469-phare-avant-gauche-205-83-91.html,https://www.karhabtk.tn/6016-home_default/phare-avant-gauche-205-83-91.jpg,Peugeot,205,Any,phare,OPTIQUE GAUCHE PEUGEOT 205,N/A,N/A,45.0,N/A,N/A,unknown,2026-06-06T00:31:17.131029
karhabtk,https://www.karhabtk.tn/phare/29877-optique-avant-gauche-logan-2013.html,https://www.karhabtk.tn/9007-home_default/optique-avant-gauche-logan-2013.jpg,Renault,Logan,Any,phare,OPTIQUE AVANT GAUCHE LOGAN...,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:32.562685
karhabtk,https://www.karhabtk.tn/phare/29877-optique-avant-gauche-logan-2013.html,https://www.karhabtk.tn/9007-home_default/optique-avant-gauche-logan-2013.jpg,Renault,Logan,Any,phare,OPTIQUE AVANT GAUCHE LOGAN...,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:32.563754
karhabtk,https://www.karhabtk.tn/phare/29876-optique-droite-logan-2013.html,https://www.karhabtk.tn/9008-home_default/optique-droite-logan-2013.jpg,Renault,Logan,Any,phare,OPTIQUE DROITE LOGAN 2013,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:32.564783
karhabtk,https://www.karhabtk.tn/phare/29876-optique-droite-logan-2013.html,https://www.karhabtk.tn/9008-home_default/optique-droite-logan-2013.jpg,Renault,Logan,Any,phare,OPTIQUE DROITE LOGAN 2013,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:32.566462
karhabtk,https://www.karhabtk.tn/phare/79040-optique-symbol-13-avant-gauche.html,https://www.karhabtk.tn/11368-home_default/optique-symbol-13-avant-gauche.jpg,Renault,Symbol,2017,phare,OPTIQUE SYMBOL 13 AVANT GAUCHE,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:46.776939
karhabtk,https://www.karhabtk.tn/phare/79040-optique-symbol-13-avant-gauche.html,https://www.karhabtk.tn/11368-home_default/optique-symbol-13-avant-gauche.jpg,Renault,Symbol,2017,phare,OPTIQUE SYMBOL 13 AVANT GAUCHE,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:46.777942
karhabtk,https://www.karhabtk.tn/phare/79041-optique-symbol-1-3-avant-droite.html,https://www.karhabtk.tn/11371-home_default/optique-symbol-1-3-avant-droite.jpg,Renault,Symbol,2017,phare,OPTIQUE SYMBOL 1/3 AVANT...,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:46.780030
karhabtk,https://www.karhabtk.tn/phare/79041-optique-symbol-1-3-avant-droite.html,https://www.karhabtk.tn/11371-home_default/optique-symbol-1-3-avant-droite.jpg,Renault,Symbol,2017,phare,OPTIQUE SYMBOL 1/3 AVANT...,N/A,N/A,215.0,N/A,N/A,unknown,2026-06-06T00:31:46.780952
karhabtk,https://www.karhabtk.tn/phare/79458-optique-symbol-2017-d.html,https://www.karhabtk.tn/12081-home_default/optique-symbol-2017-d.jpg,Renault,Symbol,2017,phare,OPTIQUE DROIT SYMBOL 2017,N/A,N/A,561.0,N/A,N/A,unknown,2026-06-06T00:31:46.785061
karhabtk,https://www.karhabtk.tn/phare/79458-optique-symbol-2017-d.html,https://www.karhabtk.tn/12081-home_default/optique-symbol-2017-d.jpg,Renault,Symbol,2017,phare,OPTIQUE DROIT SYMBOL 2017,N/A,N/A,561.0,N/A,N/A,unknown,2026-06-06T00:31:46.786057
karhabtk,https://www.karhabtk.tn/phare/79469-optique-symbol-3-17-g.html,https://www.karhabtk.tn/12084-home_default/optique-symbol-3-17-g.jpg,Renault,Symbol,2017,phare,OPTIQUE AVANT GAUCHE SYMBOL...,N/A,N/A,561.0,N/A,N/A,unknown,2026-06-06T00:31:46.786057
karhabtk,https://www.karhabtk.tn/phare/79469-optique-symbol-3-17-g.html,https://www.karhabtk.tn/12084-home_default/optique-symbol-3-17-g.jpg,Renault,Symbol,2017,phare,OPTIQUE AVANT GAUCHE SYMBOL...,N/A,N/A,561.0,N/A,N/A,unknown,2026-06-06T00:31:46.787662
